Area,Measure,Year at 30 June,Value,Flags
"New Plymouth district","Natural increase","2021",350,
"Central Hawke's Bay district","Natural increase","2021",40,
"Napier city","Natural increase","2021",180,
"Hastings district","Natural increase","2021",430,
"Wairoa district","Natural increase","2021",50,
"Gisborne district","Natural increase","2021",290,
"Opotiki district","Natural increase","2021",50,
"Kawerau district","Natural increase","2021",30,
"Whakatane district","Natural increase","2021",200,
"Rotorua district","Natural increase","2021",460,
"Tauranga city","Natural increase","2021",790,
"Western Bay of Plenty district","Natural increase","2021",240,
"Taupo district","Natural increase","2021",180,
"Waitomo district","Natural increase","2021",50,
"South Waikato district","Natural increase","2021",170,
"Otorohanga district","Natural increase","2021",60,
"Waipa district","Natural increase","2021",200,
"Hamilton city","Natural increase","2021",1600,
"Matamata-Piako district","Natural increase","2021",170,
"Waikato district","Natural increase","2021",650,
"Hauraki district","Natural increase","2021",20,
"Thames-Coromandel district","Natural increase","2021",-110,
"Franklin local board area","Natural increase","2021",490,
"Papakura local board area","Natural increase","2021",980,
"Manurewa local board area","Natural increase","2021",1300,
"Otara-Papatoetoe local board area","Natural increase","2021",1100,
"Mangere-Otahuhu local board area","Natural increase","2021",920,
"Howick local board area","Natural increase","2021",900,
"Maungakiekie-Tamaki local board area","Natural increase","2021",700,
"Orakei local board area","Natural increase","2021",310,
"Puketapapa local board area","Natural increase","2021",320,
"Albert-Eden local board area","Natural increase","2021",370,
"Whau local board area","Population","2021",84800,
"Waitemata local board area","Population","2021",88700,
"Waiheke local board area","Population","2021",9670,
"Aotea/Great Barrier local board area","Population","2021",1050,
"Waitakere Ranges local board area","Population","2021",55400,
"Henderson-Massey local board area","Population","2021",128400,
"Devonport-Takapuna local board area","Population","2021",59900,
"Kaipatiki local board area","Population","2021",91200,
"Upper Harbour local board area","Population","2021",70700,
"Hibiscus and Bays local board area","Population","2021",113200,
"Rodney local board area","Population","2021",77300,
"Auckland","Population","2021",1704100,
"Kaipara district","Population","2021",26500,
"Whangarei district","Population","2021",99300,
"Far North district","Population","2021",73000,
"Area outside region","Population","2021",780,
"Southland region","Population","2021",102500,
"Southland region","Net internal migration","2021",-460,
"Area outside region","Net internal migration","2021",30,
"Far North district","Net internal migration","2021",1000,
"Whangarei district","Net internal migration","2021",640,
"Kaipara district","Net internal migration","2021",980,
"Auckland","Net internal migration","2021",-15400,
"Rodney local board area","Net internal migration","2021",2300,
"Hibiscus and Bays local board area","Net internal migration","2021",-640,
"Upper Harbour local board area","Net internal migration","2021",170,
"Kaipatiki local board area","Net internal migration","2021",-2500,
"Devonport-Takapuna local board area","Net internal migration","2021",-1400,
"Henderson-Massey local board area","Net internal migration","2021",-1100,
"Waitakere Ranges local board area","Net internal migration","2021",-440,
"Aotea/Great Barrier local board area","Net internal migration","2021",10,
"Waiheke local board area","Net internal migration","2021",-110,
"Waitemata local board area","Net internal migration","2021",-2600,
"Whau local board area","Net internal migration","2021",-1400,
"Whau local board area","Net international migration","2021",-490,
"Waitemata local board area","Net international migration","2021",-1700,
"Waiheke local board area","Net international migration","2021",-60,
"Aotea/Great Barrier local board area","Net international migration","2021",-10,
"Waitakere Ranges local board area","Net international migration","2021",10,
"Henderson-Massey local board area","Net international migration","2021",-460,
"Devonport-Takapuna local board area","Net international migration","2021",-250,
"Kaipatiki local board area","Net international migration","2021",-720,
"Upper Harbour local board area","Net international migration","2021",-850,
"Hibiscus and Bays local board area","Net international migration","2021",-60,
"Rodney local board area","Net international migration","2021",50,
"Auckland","Net international migration","2021",-7600,
"Kaipara district","Net international migration","2021",100,
"Whangarei district","Net international migration","2021",470,
"Far North district","Net international migration","2021",340,
"Area outside region","Net international migration","2021",0,
"Southland region","Net international migration","2021",-10,
"Southland region","Net migration","2021",-470,
"Area outside region","Net migration","2021",30,
"Far North district","Net migration","2021",1400,
"Whangarei district","Net migration","2021",1100,
"Kaipara district","Net migration","2021",1100,
"Auckland","Net migration","2021",-22900,
"Rodney local board area","Net migration","2021",2400,
"Hibiscus and Bays local board area","Net migration","2021",-700,
"Upper Harbour local board area","Net migration","2021",-680,
"Kaipatiki local board area","Net migration","2021",-3200,
"Devonport-Takapuna local board area","Net migration","2021",-1600,
"Henderson-Massey local board area","Net migration","2021",-1500,
"Waitakere Ranges local board area","Net migration","2021",-430,
"Aotea/Great Barrier local board area","Net migration","2021",10,
"Waiheke local board area","Net migration","2021",-170,
"Waitemata local board area","Net migration","2021",-4200,
"Whau local board area","Net migration","2021",-1900,
"Whau local board area","Net migration","2022",-1400,
"Waitemata local board area","Net migration","2022",-5600,
"Waiheke local board area","Net migration","2022",-300,
"Aotea/Great Barrier local board area","Net migration","2022",0,
"Waitakere Ranges local board area","Net migration","2022",-650,
"Henderson-Massey local board area","Net migration","2022",-1100,
"Devonport-Takapuna local board area","Net migration","2022",-1900,
"Kaipatiki local board area","Net migration","2022",-2500,
"Upper Harbour local board area","Net migration","2022",-240,
"Hibiscus and Bays local board area","Net migration","2022",-300,
"Rodney local board area","Net migration","2022",1600,
"Auckland","Net migration","2022",-20900,
"Kaipara district","Net migration","2022",580,
"Whangarei district","Net migration","2022",870,
"Far North district","Net migration","2022",680,
"Area outside region","Net migration","2022",30,
"Southland region","Net migration","2022",-340,
"Southland region","Net international migration","2022",60,
"Area outside region","Net international migration","2022",0,
"Far North district","Net international migration","2022",-130,
"Whangarei district","Net international migration","2022",-30,
"Kaipara district","Net international migration","2022",-60,
"Auckland","Net international migration","2022",-5900,
"Rodney local board area","Net international migration","2022",-170,
"Hibiscus and Bays local board area","Net international migration","2022",-540,
"Upper Harbour local board area","Net international migration","2022",-390,
"Kaipatiki local board area","Net international migration","2022",-480,
"Devonport-Takapuna local board area","Net international migration","2022",-560,
"Henderson-Massey local board area","Net international migration","2022",-240,
"Waitakere Ranges local board area","Net international migration","2022",-160,
"Aotea/Great Barrier local board area","Net international migration","2022",-10,
"Waiheke local board area","Net international migration","2022",-200,
"Waitemata local board area","Net international migration","2022",-1300,
"Whau local board area","Net international migration","2022",-250,
"Whau local board area","Net internal migration","2022",-1100,
"Waitemata local board area","Net internal migration","2022",-4300,
"Waiheke local board area","Net internal migration","2022",-100,
"Aotea/Great Barrier local board area","Net internal migration","2022",10,
"Waitakere Ranges local board area","Net internal migration","2022",-500,
"Henderson-Massey local board area","Net internal migration","2022",-860,
"Devonport-Takapuna local board area","Net internal migration","2022",-1400,
"Kaipatiki local board area","Net internal migration","2022",-2000,
"Upper Harbour local board area","Net internal migration","2022",150,
"Hibiscus and Bays local board area","Net internal migration","2022",240,
"Rodney local board area","Net internal migration","2022",1800,
"Auckland","Net internal migration","2022",-15000,
"Kaipara district","Net internal migration","2022",630,
"Whangarei district","Net internal migration","2022",900,
"Far North district","Net internal migration","2022",810,
"Area outside region","Net internal migration","2022",30,
"Southland region","Net internal migration","2022",-400,
"Southland region","Population","2022",102400,
"Area outside region","Population","2022",800,
"Far North district","Population","2022",73800,
"Whangarei district","Population","2022",100500,
"Kaipara district","Population","2022",27200,
"Auckland","Population","2022",1695200,
"Rodney local board area","Population","2022",79400,
"Hibiscus and Bays local board area","Population","2022",113400,
"Upper Harbour local board area","Population","2022",71000,
"Kaipatiki local board area","Population","2022",89500,
"Devonport-Takapuna local board area","Population","2022",58100,
"Henderson-Massey local board area","Population","2022",128500,
"Waitakere Ranges local board area","Population","2022",55200,
"Aotea/Great Barrier local board area","Population","2022",1050,
"Waiheke local board area","Population","2022",9390,
"Waitemata local board area","Population","2022",83500,
"Whau local board area","Population","2022",84000,
"Albert-Eden local board area","Natural increase","2022",380,
"Puketapapa local board area","Natural increase","2022",260,
"Orakei local board area","Natural increase","2022",230,
"Maungakiekie-Tamaki local board area","Natural increase","2022",780,
"Howick local board area","Natural increase","2022",820,
"Mangere-Otahuhu local board area","Natural increase","2022",790,
"Otara-Papatoetoe local board area","Natural increase","2022",1000,
"Manurewa local board area","Natural increase","2022",1200,
"Papakura local board area","Natural increase","2022",1000,
"Franklin local board area","Natural increase","2022",500,
"Thames-Coromandel district","Natural increase","2022",-160,
"Hauraki district","Natural increase","2022",-10,
"Waikato district","Natural increase","2022",660,
"Matamata-Piako district","Natural increase","2022",120,
"Hamilton city","Natural increase","2022",1500,
"Waipa district","Natural increase","2022",210,
"Otorohanga district","Natural increase","2022",70,
"South Waikato district","Natural increase","2022",190,
"Waitomo district","Natural increase","2022",30,
"Taupo district","Natural increase","2022",140,
"Western Bay of Plenty district","Natural increase","2022",170,
"Tauranga city","Natural increase","2022",630,
"Rotorua district","Natural increase","2022",430,
"Whakatane district","Natural increase","2022",160,
"Kawerau district","Natural increase","2022",30,
"Opotiki district","Natural increase","2022",50,
"Gisborne district","Natural increase","2022",350,
"Wairoa district","Natural increase","2022",40,
"Hastings district","Natural increase","2022",370,
"Napier city","Natural increase","2022",130,
"Central Hawke's Bay district","Natural increase","2022",80,
"New Plymouth district","Natural increase","2022",220,
"Stratford district","Natural increase","2022",50,
"South Taranaki district","Natural increase","2022",130,
"Albert-Eden local board area","Population","2018",103700,
"Puketapapa local board area","Population","2018",60900,
"Orakei local board area","Population","2018",87700,
"Maungakiekie-Tamaki local board area","Population","2018",80500,
"Howick local board area","Population","2018",149400,
"Mangere-Otahuhu local board area","Population","2018",82700,
"Otara-Papatoetoe local board area","Population","2018",90500,
"Manurewa local board area","Population","2018",100900,
"Papakura local board area","Population","2018",61100,
"Franklin local board area","Population","2018",77700,
"Thames-Coromandel district","Population","2018",30700,
"Hauraki district","Population","2018",20700,
"Waikato district","Population","2018",78200,
"Matamata-Piako district","Population","2018",35300,
"Hamilton city","Population","2018",168600,
"Waipa district","Population","2018",55000,
"Otorohanga district","Population","2018",10500,
"South Waikato district","Population","2018",24800,
"Waitomo district","Population","2018",9630,
"Taupo district","Population","2018",38600,
"Western Bay of Plenty district","Population","2018",53000,
"Tauranga city","Population","2018",142500,
"Rotorua district","Population","2018",74800,
"Whakatane district","Population","2018",37100,
"Kawerau district","Population","2018",7460,
"Opotiki district","Population","2018",9670,
"Gisborne district","Population","2018",49500,
"Wairoa district","Population","2018",8720,
"Hastings district","Population","2018",84700,
"Napier city","Population","2018",64200,
"Central Hawke's Bay district","Population","2018",14650,
"New Plymouth district","Population","2018",83300,
"Stratford district","Population","2018",9710,
"South Taranaki district","Population","2018",28300,
"Wellington city","Net migration","2019",700,
"Masterton district","Net migration","2019",490,
"Carterton district","Net migration","2019",130,
"South Wairarapa district","Net migration","2019",170,
"Tasman district","Net migration","2019",830,
"Nelson city","Net migration","2019",630,
"Marlborough district","Net migration","2019",520,
"Kaikoura district","Net migration","2019",20,
"Buller district","Net migration","2019",-80,
"Grey district","Net migration","2019",80,
"Westland district","Net migration","2019",-10,
"Hurunui district","Net migration","2019",60,
"Waimakariri district","Net migration","2019",1300,
"Christchurch city","Net migration","2019",1800,
"Selwyn district","Net migration","2019",2400,
"Ashburton district","Net migration","2019",140,
"Timaru district","Net migration","2019",260,
"Mackenzie district","Net migration","2019",140,
"Waimate district","Net migration","2019",50,
"Chatham Islands territory","Net migration","2019",20,
"Waitaki district","Net migration","2019",300,
"Central Otago district","Net migration","2019",730,
"Queenstown-Lakes district","Net migration","2019",2000,
"Dunedin city","Net migration","2019",700,
"Clutha district","Net migration","2019",80,
"Southland district","Net migration","2019",120,
"Gore district","Net migration","2019",80,
"Invercargill city","Net migration","2019",570,
"Area outside territorial authority","Net migration","2019",0,
"Area outside territorial authority","Natural increase","2019",0,
"Invercargill city","Natural increase","2019",120,
"Gore district","Natural increase","2019",-20,
"Southland district","Natural increase","2019",200,
"Clutha district","Natural increase","2019",40,
"Dunedin city","Natural increase","2019",170,
"Queenstown-Lakes district","Natural increase","2019",330,
"Central Otago district","Natural increase","2019",80,
"Waitaki district","Natural increase","2019",-10,
"Chatham Islands territory","Natural increase","2019",10,
"Waimate district","Natural increase","2019",10,
"Mackenzie district","Natural increase","2019",30,
"Timaru district","Natural increase","2019",0,
"Ashburton district","Natural increase","2019",190,
"Selwyn district","Natural increase","2019",540,
"Christchurch city","Natural increase","2019",1600,
"Waimakariri district","Natural increase","2019",230,
"Hurunui district","Natural increase","2019",60,
"Westland district","Natural increase","2019",10,
"Grey district","Natural increase","2019",40,
"Buller district","Natural increase","2019",-10,
"Kaikoura district","Natural increase","2019",30,
"Marlborough district","Natural increase","2019",60,
"Nelson city","Natural increase","2019",60,
"Tasman district","Natural increase","2019",40,
"South Wairarapa district","Natural increase","2019",0,
"Carterton district","Natural increase","2019",10,
"Masterton district","Natural increase","2019",0,
"Wellington city","Natural increase","2019",1100,
"Lower Hutt city","Natural increase","2019",670,
"Upper Hutt city","Natural increase","2019",260,
"Porirua city","Natural increase","2019",520,
"Kapiti Coast district","Natural increase","2019",-70,
"Horowhenua district","Natural increase","2019",-30,
"Tararua district","Natural increase","2019",80,
"Palmerston North city","Natural increase","2019",440,
"Manawatu district","Natural increase","2019",140,
"Rangitikei district","Natural increase","2019",80,
"Whanganui district","Natural increase","2019",100,
"South Taranaki district","Population","2019",28600,
"Stratford district","Population","2019",9890,
"New Plymouth district","Population","2019",84700,
"Central Hawke's Bay district","Population","2019",14900,
"Napier city","Population","2019",65100,
"Hastings district","Population","2019",86000,
"Wairoa district","Population","2019",8800,
"Gisborne district","Population","2019",50200,
"Opotiki district","Population","2019",9950,
"Kawerau district","Population","2019",7550,
"Whakatane district","Population","2019",37500,
"Rotorua district","Population","2019",75700,
"Tauranga city","Population","2019",146800,
"Western Bay of Plenty district","Population","2019",54400,
"Taupo district","Population","2019",39400,
"Waitomo district","Population","2019",9600,
"South Waikato district","Population","2019",25100,
"Otorohanga district","Population","2019",10600,
"Waipa district","Population","2019",56400,
"Hamilton city","Population","2019",172500,
"Matamata-Piako district","Population","2019",35800,
"Waikato district","Population","2019",80500,
"Hauraki district","Population","2019",21000,
"Thames-Coromandel district","Population","2019",31200,
"Franklin local board area","Population","2019",79300,
"Papakura local board area","Population","2019",63400,
"Manurewa local board area","Population","2019",102900,
"Otara-Papatoetoe local board area","Population","2019",92000,
"Mangere-Otahuhu local board area","Population","2019",84300,
"Howick local board area","Population","2019",151600,
"Maungakiekie-Tamaki local board area","Population","2019",82100,
"Orakei local board area","Population","2019",88000,
"Puketapapa local board area","Population","2019",61400,
"Albert-Eden local board area","Population","2019",103800,
"Albert-Eden local board area","Net internal migration","2019",-1700,
"Puketapapa local board area","Net internal migration","2019",-740,
"Orakei local board area","Net internal migration","2019",-850,
"Maungakiekie-Tamaki local board area","Net internal migration","2019",-720,
"Howick local board area","Net internal migration","2019",-1600,
"Mangere-Otahuhu local board area","Net internal migration","2019",-310,
"Otara-Papatoetoe local board area","Net internal migration","2019",-590,
"Manurewa local board area","Net internal migration","2019",240,
"Papakura local board area","Net internal migration","2019",980,
"Franklin local board area","Net internal migration","2019",490,
"Thames-Coromandel district","Net internal migration","2019",520,
"Hauraki district","Net internal migration","2019",220,
"Waikato district","Net internal migration","2019",1300,
"Matamata-Piako district","Net internal migration","2019",60,
"Hamilton city","Net internal migration","2019",-70,
"Waipa district","Net internal migration","2019",750,
"Otorohanga district","Net internal migration","2019",-40,
"South Waikato district","Net internal migration","2019",20,
"Waitomo district","Net internal migration","2019",-80,
"Taupo district","Net internal migration","2019",230,
"Western Bay of Plenty district","Net internal migration","2019",730,
"Tauranga city","Net internal migration","2019",1800,
"Rotorua district","Net internal migration","2019",-570,
"Whakatane district","Net internal migration","2019",0,
"Kawerau district","Net internal migration","2019",40,
"Opotiki district","Net internal migration","2019",60,
"Gisborne district","Net internal migration","2019",50,
"Wairoa district","Net internal migration","2019",0,
"Hastings district","Net internal migration","2019",0,
"Napier city","Net internal migration","2019",220,
"Central Hawke's Bay district","Net internal migration","2019",100,
"New Plymouth district","Net internal migration","2019",250,
"Stratford district","Net internal migration","2019",20,
"South Taranaki district","Net internal migration","2019",-40,
"South Taranaki district","Net international migration","2019",150,
"Stratford district","Net international migration","2019",80,
"New Plymouth district","Net international migration","2019",760,
"Central Hawke's Bay district","Net international migration","2019",80,
"Napier city","Net international migration","2019",500,
"Hastings district","Net international migration","2019",920,
"Wairoa district","Net international migration","2019",60,
"Gisborne district","Net international migration","2019",370,
"Opotiki district","Net international migration","2019",150,
"Kawerau district","Net international migration","2019",30,
"Whakatane district","Net international migration","2019",270,
"Rotorua district","Net international migration","2019",1000,
"Tauranga city","Net international migration","2019",1900,
"Western Bay of Plenty district","Net international migration","2019",570,
"Taupo district","Net international migration","2019",410,
"Waitomo district","Net international migration","2019",0,
"South Waikato district","Net international migration","2019",70,
"Otorohanga district","Net international migration","2019",50,
"Waipa district","Net international migration","2019",450,
"Hamilton city","Net international migration","2019",2500,
"Matamata-Piako district","Net international migration","2019",250,
"Waikato district","Net international migration","2019",440,
"Hauraki district","Net international migration","2019",50,
"Thames-Coromandel district","Net international migration","2019",100,
"Franklin local board area","Net international migration","2019",720,
"Papakura local board area","Net international migration","2019",610,
"Manurewa local board area","Net international migration","2019",520,
"Otara-Papatoetoe local board area","Net international migration","2019",900,
"Mangere-Otahuhu local board area","Net international migration","2019",880,
"Howick local board area","Net international migration","2019",2800,
"Maungakiekie-Tamaki local board area","Net international migration","2019",1500,
"Orakei local board area","Net international migration","2019",850,
"Puketapapa local board area","Net international migration","2019",790,
"Albert-Eden local board area","Net international migration","2019",1300,
"Albert-Eden local board area","Net migration","2019",-380,
"Puketapapa local board area","Net migration","2019",50,
"Orakei local board area","Net migration","2019",-10,
"Maungakiekie-Tamaki local board area","Net migration","2019",730,
"Howick local board area","Net migration","2019",1300,
"Mangere-Otahuhu local board area","Net migration","2019",570,
"Otara-Papatoetoe local board area","Net migration","2019",310,
"Manurewa local board area","Net migration","2019",760,
"Papakura local board area","Net migration","2019",1600,
"Franklin local board area","Net migration","2019",1200,
"Thames-Coromandel district","Net migration","2019",620,
"Hauraki district","Net migration","2019",270,
"Waikato district","Net migration","2019",1700,
"Matamata-Piako district","Net migration","2019",310,
"Hamilton city","Net migration","2019",2400,
"Waipa district","Net migration","2019",1200,
"Otorohanga district","Net migration","2019",20,
"South Waikato district","Net migration","2019",100,
"Waitomo district","Net migration","2019",-80,
"Taupo district","Net migration","2019",640,
"Western Bay of Plenty district","Net migration","2019",1300,
"Tauranga city","Net migration","2019",3700,
"Rotorua district","Net migration","2019",440,
"Whakatane district","Net migration","2019",270,
"Kawerau district","Net migration","2019",70,
"Opotiki district","Net migration","2019",210,
"Gisborne district","Net migration","2019",430,
"Wairoa district","Net migration","2019",60,
"Hastings district","Net migration","2019",910,
"Napier city","Net migration","2019",720,
"Central Hawke's Bay district","Net migration","2019",190,
"New Plymouth district","Net migration","2019",1000,
"Stratford district","Net migration","2019",100,
"South Taranaki district","Net migration","2019",110,
"South Taranaki district","Net migration","2020",270,
"Stratford district","Net migration","2020",80,
"New Plymouth district","Net migration","2020",1400,
"Central Hawke's Bay district","Net migration","2020",400,
"Napier city","Net migration","2020",1000,
"Hastings district","Net migration","2020",3000,
"Wairoa district","Net migration","2020",110,
"Gisborne district","Net migration","2020",870,
"Opotiki district","Net migration","2020",240,
"Kawerau district","Net migration","2020",40,
"Whakatane district","Net migration","2020",280,
"Rotorua district","Net migration","2020",1000,
"Tauranga city","Net migration","2020",5500,
"Western Bay of Plenty district","Net migration","2020",2400,
"Taupo district","Net migration","2020",900,
"Waitomo district","Net migration","2020",40,
"South Waikato district","Net migration","2020",190,
"Otorohanga district","Net migration","2020",60,
"Waipa district","Net migration","2020",1900,
"Hamilton city","Net migration","2020",3400,
"Matamata-Piako district","Net migration","2020",450,
"Waikato district","Net migration","2020",2800,
"Hauraki district","Net migration","2020",520,
"Thames-Coromandel district","Net migration","2020",1300,
"Franklin local board area","Net migration","2020",1500,
"Papakura local board area","Net migration","2020",2800,
"Manurewa local board area","Net migration","2020",1400,
"Otara-Papatoetoe local board area","Net migration","2020",670,
"Mangere-Otahuhu local board area","Net migration","2020",440,
"Howick local board area","Net migration","2020",2300,
"Maungakiekie-Tamaki local board area","Net migration","2020",250,
"Orakei local board area","Net migration","2020",1100,
"Puketapapa local board area","Net migration","2020",280,
"Albert-Eden local board area","Net migration","2020",60,
"Albert-Eden local board area","Net international migration","2020",1900,
"Puketapapa local board area","Net international migration","2020",910,
"Orakei local board area","Net international migration","2020",1900,
"Maungakiekie-Tamaki local board area","Net international migration","2020",1400,
"Howick local board area","Net international migration","2020",3300,
"Mangere-Otahuhu local board area","Net international migration","2020",1100,
"Otara-Papatoetoe local board area","Net international migration","2020",1500,
"Manurewa local board area","Net international migration","2020",1300,
"Papakura local board area","Net international migration","2020",920,
"Franklin local board area","Net international migration","2020",980,
"Thames-Coromandel district","Net international migration","2020",510,
"Hauraki district","Net international migration","2020",200,
"Waikato district","Net international migration","2020",840,
"Matamata-Piako district","Net international migration","2020",300,
"Hamilton city","Net international migration","2020",3900,
"Waipa district","Net international migration","2020",830,
"Otorohanga district","Net international migration","2020",90,
"South Waikato district","Net international migration","2020",130,
"Waitomo district","Net international migration","2020",110,
"Taupo district","Net international migration","2020",640,
"Western Bay of Plenty district","Net international migration","2020",1600,
"Tauranga city","Net international migration","2020",3500,
"Rotorua district","Net international migration","2020",1500,
"Whakatane district","Net international migration","2020",370,
"Kawerau district","Net international migration","2020",20,
"Opotiki district","Net international migration","2020",180,
"Gisborne district","Net international migration","2020",870,
"Wairoa district","Net international migration","2020",100,
"Hastings district","Net international migration","2020",3200,
"Napier city","Net international migration","2020",940,
"Central Hawke's Bay district","Net international migration","2020",230,
"New Plymouth district","Net international migration","2020",1300,
"Stratford district","Net international migration","2020",50,
"South Taranaki district","Net international migration","2020",240,
"South Taranaki district","Net internal migration","2020",40,
"Stratford district","Net internal migration","2020",30,
"New Plymouth district","Net internal migration","2020",100,
"Central Hawke's Bay district","Net internal migration","2020",170,
"Napier city","Net internal migration","2020",100,
"Hastings district","Net internal migration","2020",-150,
"Wairoa district","Net internal migration","2020",20,
"Gisborne district","Net internal migration","2020",0,
"Opotiki district","Net internal migration","2020",60,
"Kawerau district","Net internal migration","2020",30,
"Whakatane district","Net internal migration","2020",-90,
"Rotorua district","Net internal migration","2020",-520,
"Tauranga city","Net internal migration","2020",2000,
"Western Bay of Plenty district","Net internal migration","2020",790,
"Taupo district","Net internal migration","2020",260,
"Waitomo district","Net internal migration","2020",-70,
"South Waikato district","Net internal migration","2020",60,
"Otorohanga district","Net internal migration","2020",-30,
"Waipa district","Net internal migration","2020",1000,
"Hamilton city","Net internal migration","2020",-470,
"Matamata-Piako district","Net internal migration","2020",150,
"Waikato district","Net internal migration","2020",1900,
"Hauraki district","Net internal migration","2020",320,
"Thames-Coromandel district","Net internal migration","2020",820,
"Franklin local board area","Net internal migration","2020",510,
"Papakura local board area","Net internal migration","2020",1900,
"Manurewa local board area","Net internal migration","2020",100,
"Otara-Papatoetoe local board area","Net internal migration","2020",-810,
"Mangere-Otahuhu local board area","Net internal migration","2020",-670,
"Howick local board area","Net internal migration","2020",-1000,
"Maungakiekie-Tamaki local board area","Net internal migration","2020",-1200,
"Orakei local board area","Net internal migration","2020",-810,
"Puketapapa local board area","Net internal migration","2020",-630,
"Albert-Eden local board area","Net internal migration","2020",-1800,
"Albert-Eden local board area","Population","2020",104300,
"Puketapapa local board area","Population","2020",62100,
"Orakei local board area","Population","2020",89400,
"Maungakiekie-Tamaki local board area","Population","2020",83200,
"Howick local board area","Population","2020",154700,
"Mangere-Otahuhu local board area","Population","2020",85600,
"Otara-Papatoetoe local board area","Population","2020",93800,
"Manurewa local board area","Population","2020",105600,
"Papakura local board area","Population","2020",67000,
"Franklin local board area","Population","2020",81200,
"Thames-Coromandel district","Population","2020",32500,
"Hauraki district","Population","2020",21500,
"Waikato district","Population","2020",83800,
"Matamata-Piako district","Population","2020",36400,
"Hamilton city","Population","2020",177400,
"Waipa district","Population","2020",58500,
"Otorohanga district","Population","2020",10750,
"South Waikato district","Population","2020",25400,
"Waitomo district","Population","2020",9680,
"Taupo district","Population","2020",40500,
"Western Bay of Plenty district","Population","2020",57000,
"Tauranga city","Population","2020",153000,
"Rotorua district","Population","2020",77100,
"Whakatane district","Population","2020",38000,
"Kawerau district","Population","2020",7620,
"Opotiki district","Population","2020",10250,
"Gisborne district","Population","2020",51400,
"Wairoa district","Population","2020",8940,
"Hastings district","Population","2020",89400,
"Napier city","Population","2020",66200,
"Central Hawke's Bay district","Population","2020",15400,
"New Plymouth district","Population","2020",86300,
"Stratford district","Population","2020",10000,
"South Taranaki district","Population","2020",29000,
"Whanganui district","Natural increase","2020",70,
"Rangitikei district","Natural increase","2020",90,
"Manawatu district","Natural increase","2020",110,
"Palmerston North city","Natural increase","2020",490,
"Tararua district","Natural increase","2020",60,
"Horowhenua district","Natural increase","2020",-30,
"Kapiti Coast district","Natural increase","2020",-180,
"Porirua city","Natural increase","2020",550,
"Upper Hutt city","Natural increase","2020",230,
"Lower Hutt city","Natural increase","2020",730,
"Wellington city","Natural increase","2020",1000,
"Masterton district","Natural increase","2020",30,
"Carterton district","Natural increase","2020",20,
"South Wairarapa district","Natural increase","2020",50,
"Tasman district","Natural increase","2020",40,
"Nelson city","Natural increase","2020",110,
"Marlborough district","Natural increase","2020",70,
"Kaikoura district","Natural increase","2020",20,
"Buller district","Natural increase","2020",-30,
"Grey district","Natural increase","2020",60,
"Westland district","Natural increase","2020",20,
"Hurunui district","Natural increase","2020",60,
"Waimakariri district","Natural increase","2020",190,
"Christchurch city","Natural increase","2020",1500,
"Selwyn district","Natural increase","2020",580,
"Ashburton district","Natural increase","2020",160,
"Timaru district","Natural increase","2020",-50,
"Mackenzie district","Natural increase","2020",50,
"Waimate district","Natural increase","2020",0,
"Chatham Islands territory","Natural increase","2020",10,
"Waitaki district","Natural increase","2020",-10,
"Central Otago district","Natural increase","2020",80,
"Queenstown-Lakes district","Natural increase","2020",360,
"Dunedin city","Natural increase","2020",120,
"Clutha district","Natural increase","2020",80,
"Southland district","Natural increase","2020",230,
"Gore district","Natural increase","2020",-20,
"Invercargill city","Natural increase","2020",20,
"Area outside territorial authority","Natural increase","2020",0,
"Area outside territorial authority","Net migration","2020",0,
"Invercargill city","Net migration","2020",620,
"Gore district","Net migration","2020",150,
"Southland district","Net migration","2020",210,
"Clutha district","Net migration","2020",190,
"Dunedin city","Net migration","2020",590,
"Queenstown-Lakes district","Net migration","2020",2600,
"Central Otago district","Net migration","2020",1200,
"Waitaki district","Net migration","2020",490,
"Chatham Islands territory","Net migration","2020",30,
"Waimate district","Net migration","2020",90,
"Mackenzie district","Net migration","2020",120,
"Timaru district","Net migration","2020",490,
"Ashburton district","Net migration","2020",630,
"Selwyn district","Net migration","2020",3400,
"Christchurch city","Net migration","2020",2900,
"Waimakariri district","Net migration","2020",1700,
"Hurunui district","Net migration","2020",290,
"Westland district","Net migration","2020",60,
"Grey district","Net migration","2020",190,
"Buller district","Net migration","2020",50,
"Kaikoura district","Net migration","2020",70,
"Marlborough district","Net migration","2020",1900,
"Nelson city","Net migration","2020",1400,
"Tasman district","Net migration","2020",2300,
"South Wairarapa district","Net migration","2020",270,
"Carterton district","Net migration","2020",210,
"Masterton district","Net migration","2020",830,
"Wellington city","Net migration","2020",2500,
"Ruapehu district","Natural increase","2020",70,
"Ruapehu district","Natural increase","2021",90,
"Wellington city","Net migration","2021",-2200,
"Masterton district","Net migration","2021",620,
"Carterton district","Net migration","2021",190,
"South Wairarapa district","Net migration","2021",170,
"Tasman district","Net migration","2021",610,
"Nelson city","Net migration","2021",-280,
"Marlborough district","Net migration","2021",210,
"Kaikoura district","Net migration","2021",-50,
"Buller district","Net migration","2021",90,
"Grey district","Net migration","2021",30,
"Westland district","Net migration","2021",-70,
"Hurunui district","Net migration","2021",50,
"Waimakariri district","Net migration","2021",1700,
"Christchurch city","Net migration","2021",-3300,
